Fight_Id,Win/No Contest/Draw,Fighter_Id_1,Fighter_Id_2,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id_x,Result_1,Result_2,Time Format,Referee,Method Details,Kd_1,Kd_2,Sig. Str._1,Sig. Str._2,Sig. Str. %_1,Sig. Str. %_2,Total Str._1,Total Str._2,Td_1,Td_2,Td %_1,Td %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_1,Head_2,Body_1,Body_2,Leg_1,Leg_2,Distance_1,Distance_2,Clinch_1,Clinch_2,Ground_1,Ground_2,Event_Id_y
4a0db214d9721d6e,win,d661ce4da776fc20,c03520b5c88ed6b4,Merab Dvalishvili,Petr Yan,0,0,134,139,2,5,2,0,Bantamweight,U-DEC,5,5:00,bd92cf5da5413d2a,L,W,5 Rnd (5-5-5-5-5),Marc Goddard,Mike Bell46 - 49.Eric Colon46 - 49.Derek Cleary47 - 48.,0,0,134 of 383,139 of 230,34%,60%,196 of 458,159 of 251,2 of 29,5 of 9,6%,55%,2,0,1,0,5:12,2:55,105 of 341,109 of 195,22 of 34,17 of 19,7 of 8,13 of 16,116 of 353,119 of 204,18 of 30,18 of 24,0 of 0,2 of 2,bd92cf5da5413d2a
dfa692db6d39330c,win,17e97649403ba428,a0f0004aadf10b71,Alexandre Pantoja,Joshua Van,0,0,6,2,0,0,0,0,Flyweight,KO/TKO,1,0:26,bd92cf5da5413d2a,L,W,5 Rnd (5-5-5-5-5),Herb Dean,"to   On Ground
      Arm injury to Pantoja",0,0,6 of 11,2 of 4,54%,50%,6 of 11,2 of 4,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,4 of 8,2 of 4,1 of 1,0 of 0,1 of 2,0 of 0,5 of 10,2 of 3,1 of 1,0 of 1,0 of 0,0 of 0,bd92cf5da5413d2a
fbbb9e72900b71f5,win,4461d7e47375a895,792be9a24df82ed6,Brandon Moreno,Tatsuro Taira,0,0,9,28,0,1,1,0,Flyweight,KO/TKO Punches,2,2:24,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Mark Smith,Punches to Head From Back Control,0,0,9 of 17,28 of 48,52%,58%,9 of 17,45 of 65,0 of 0,1 of 4,---,25%,1,0,0,1,0:05,4:27,8 of 14,23 of 42,0 of 2,3 of 3,1 of 1,2 of 3,7 of 15,7 of 19,0 of 0,2 of 4,2 of 2,19 of 25,bd92cf5da5413d2a
1dc29f4c6fcdd356,win,6e743a33d56bdaa4,056c493bbd76a918,Henry Cejudo,Payton Talbott,0,1,60,134,1,3,0,0,Bantamweight,U-DEC,3,5:00,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Chris Tognoni,Eric Colon27 - 30.Sal D'amato27 - 30.David Lethaby27 - 30.,0,1,60 of 116,134 of 217,51%,61%,77 of 136,156 of 240,1 of 7,3 of 5,14%,60%,0,0,0,0,2:39,3:31,33 of 83,89 of 167,10 of 12,34 of 39,17 of 21,11 of 11,51 of 104,90 of 168,7 of 10,28 of 31,2 of 2,16 of 18,bd92cf5da5413d2a
6d6ab10cbaa45e8c,drawdraw,99df7d0a2a08a8a8,ef5dcb10d2bd4b0f,Jan Blachowicz,Bogdan Guskov,1,1,84,80,0,0,1,0,Light Heavyweight,M-DEC,3,5:00,bd92cf5da5413d2a,D,D,3 Rnd (5-5-5),Jason Herzog,Junichiro Kamijo28 - 29.Chris Lee28 - 28.Ron McCarthy28 - 28.,1,1,84 of 149,80 of 140,56%,57%,100 of 173,98 of 160,0 of 0,0 of 0,---,---,1,0,0,0,0:08,4:09,56 of 112,69 of 127,11 of 17,2 of 3,17 of 20,9 of 10,74 of 135,52 of 96,2 of 3,0 of 0,8 of 11,28 of 44,bd92cf5da5413d2a
c797b58d85c840a4,win,2e7878927067fdca,99bd51917728c25d,Grant Dawson,Manuel Torres,0,1,8,9,0,0,0,0,Lightweight,KO/TKO Punch,1,2:25,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,0,1,8 of 21,9 of 17,38%,52%,8 of 21,9 of 17,0 of 2,0 of 0,0%,---,0,0,0,0,0:00,0:04,4 of 13,5 of 12,2 of 4,4 of 5,2 of 4,0 of 0,8 of 21,8 of 12,0 of 0,0 of 0,0 of 0,1 of 5,bd92cf5da5413d2a
b3d2ac2244e4f791,win,fd406a32a6fb3a29,809bd1a871491508,Terrance McKinney,Chris Duncan,0,1,31,38,0,1,0,1,Lightweight,SUB Anaconda Choke,1,2:30,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Marc Goddard,Anaconda Choke On Ground,0,1,31 of 57,38 of 55,54%,69%,31 of 57,53 of 75,0 of 0,1 of 2,---,50%,0,1,0,0,0:00,1:10,26 of 50,36 of 51,5 of 7,2 of 3,0 of 0,0 of 1,24 of 45,10 of 20,6 of 11,6 of 8,1 of 1,22 of 27,bd92cf5da5413d2a
2417cc7bc1eea75b,win,6a740daf1b279661,9d62c2d8ee151f08,Maycee Barber,Karine Silva,0,0,55,21,3,2,0,0,Women's Flyweight,U-DEC,3,5:00,bd92cf5da5413d2a,W,L,3 Rnd (5-5-5),Mark Smith,Sal D'amato27 - 30.Mike Bell28 - 29.Derek Cleary28 - 29.,0,0,55 of 85,21 of 45,64%,46%,89 of 130,57 of 87,3 of 5,2 of 3,60%,66%,0,0,1,1,6:20,3:28,41 of 66,8 of 30,4 of 7,4 of 5,10 of 12,9 of 10,30 of 52,16 of 32,0 of 1,1 of 4,25 of 32,4 of 9,bd92cf5da5413d2a
10a57b983e59f727,win,1e4f273069fb9e85,ff62013d2fce6d13,Nazim Sadykhov,Fares Ziam,0,1,4,31,0,2,0,2,Lightweight,KO/TKO Punches,2,4:59,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Jason Herzog,Punches to Head On Ground,0,1,4 of 16,31 of 49,25%,63%,7 of 21,76 of 96,0 of 2,2 of 5,0%,40%,0,2,0,0,0:39,5:58,1 of 11,21 of 36,0 of 0,2 of 3,3 of 5,8 of 10,4 of 16,18 of 31,0 of 0,4 of 5,0 of 0,9 of 13,bd92cf5da5413d2a
3c683da1924b6c44,win,1e719d4b676dc19a,7acbb0972e75281a,Marvin Vettori,Brunno Ferreira,0,0,88,77,1,1,0,0,Middleweight,U-DEC,3,5:00,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary28 - 29.Eric Colon28 - 29.Junichiro Kamijo28 - 29.,0,0,88 of 186,77 of 149,47%,51%,90 of 188,77 of 149,1 of 4,1 of 7,25%,14%,0,0,0,0,1:08,0:05,78 of 176,60 of 130,1 of 1,9 of 10,9 of 9,8 of 9,86 of 181,73 of 143,2 of 4,3 of 3,0 of 1,1 of 3,bd92cf5da5413d2a
